Sr No,Test Name,Test ID,Test Code,Dictionary ID,Profile,Test Amount,Cost Of Test,Outsource Amount,Minimum Selling Price,Revenue Cap,Test Type,Outsource Center,Sample Type,Test Category,Department Name,Accreditation,Integration Code,Short Text,CAP Test,Target TAT (HH:MM),Verification Status,Test Description
275,FRUCTOSAMINE,5208307,C007,-,No,1250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
276,GLIADIN ANTIBODY IGA,5208306,S098,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
277,ANA / ENA BLOT PROFILE - QUALITATIVE,5208305,S116,-,No,5000,0.00,0,0.00,0.00,Pathology,SELF,Serum,Immunology,Biochemistry,Not enable,-,-,NO,8:0,Not Verified,
278,MENINGOCOCCAL ANTIGEN,5208304,S173,-,No,2550,0.00,0,0.00,0.00,Radiology,SELF,Serum,Microbiology,Microbiology,Not enable,-,-,NO,24:0,Not Verified,
279,METABOLIC SCREEN (COMPREHENSIVE) - URINE,5208303,H189,-,No,4850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
280,"FACTOR XI, FUNCTIONAL",5208302,H545,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
281,CK - MM,5208301,C331,-,No,8550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
282,AML TRANSLOCATION PANEL,5208300,H186,-,No,4850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
283,"C1 ESTERASE INHIBITOR, SERUM BY NEPHELOMETRY",5208299,IH001,-,No,4150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,96:0,Not Verified,
284,DRUG OF ABUSE (QUALITATIVE)- 10 DRUGS,5208298,C500,-,No,4850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
285,FLUID ANALYSIS,5208297,C096,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,BODY FLUID,-,Cytology,Not enable,-,-,NO,-,Not Verified,
286,DNA PLOIDY & S PHASE - SOLID TUMORS,5208296,A075,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
287,ASPERGILLUS IGE ANTIBODY,5208295,S200,-,No,2050.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunodiagnostics,Not enable,-,-,NO,48:0,Not Verified,8 hrs fasting is required.
288,"NMO- ANTI-AQUAPORIN-4,IGG-CSF",5208294,S239,-,No,4550,0.00,0,0.00,0.00,Pathology,SELF,Serum,Immunology,Immunodiagnostics,Not enable,-,-,NO,72:0,Not Verified,
289,INTERLUKIN-6 (IL-6),5208293,C1326,-,No,3450,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Immunodiagnostics,Not enable,-,-,NO,8:0,Not Verified,
290,PNEUMOCYSTIS CARINII DETECTION Â†,5208292,M175,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
291,CYFRA 21.1 (LUNG CANCER) - CANCER MARKERS,5208291,C244,-,No,4550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,72:0,Not Verified,
292,CRYOGLOBULINS SCREENING(QUALITATIVE),5208290,C287,-,No,1650,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,72:0,Not Verified,
293,PROGNOSTIC B - CLL MARKER : ZAP 70,5208289,H105,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,Clinical Pathology,Pathology,Not enable,-,-,NO,-,Not Verified,
294,IHC - VIMENTIN,5208288,A047,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Slides & Blocks,Histopathology,Histopathology,Not enable,-,-,NO,-,Not Verified,
295,BUCCAL SMEAR FOR BARR BODIES (SEX CHROMATIN),5208287,A087,-,No,650,0.00,0,0.00,0.00,Pathology,SELF,Slides & Blocks,Histopathology,Histopathology,Not enable,-,-,NO,-,Not Verified,
296,IHC - THYROID TRANSCRIPTION FACTOR,5208286,A042,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Slides & Blocks,Histopathology,Histopathology,Not enable,-,-,NO,-,Not Verified,
297,IHC - SYNAPTOPHYSIN,5208285,A055,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,Histopathology,Histopathology,Not enable,-,-,NO,-,Not Verified,
298,IHC-CK-7,5208284,A039,-,No,1750,0.00,1750,0.00,0.00,Pathology,SELF,Serum,Histopathology,Histopathology,Not enable,-,-,NO,-,Not Verified,
299,IHC -CK 20,5208283,A115,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,Histopathology,Histopathology,Not enable,-,-,NO,-,Not Verified,
300,FREE LIGHT CHAIN ASSAY,5208282,C277,-,No,5850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
301,IHC-CD34,5208281,A114,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,Histopathology,Histopathology,Not enable,-,-,NO,-,Not Verified,
302,HOMA -IR,5208280,C335,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,8:0,Not Verified,
303,"AFB SENSITIVITY, SINGLE DRUG :CLOFAZIMINE",5208279,M061,-,No,2650,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
304,SEMEN FRUCTOSE,5208278,C289,-,No,1050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Andrology,Not enable,-,-,NO,-,Not Verified,
305,5-ALPHA DHT (DI -HYDRO TESTOSTERONE) - HORMONE,5208277,C217,-,No,3150,0.00,0,0.00,0.00,Pathology,SELF,Serum,Immunology,Immunology,Not enable,-,-,NO,72:0,Not Verified,Test Schedule : Tuesday & Friday Till 12:00 Noon. Report Same Day
306,CHROMIUM - URINE,5208276,C067,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
307,ANTI SOLUBLE LIVER ANTIGEN (SLA),5208275,C284,-,No,1850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
308,ALCIAN BLUE STAIN,5208274,A060,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,Immunology,Immunology,Not enable,-,-,NO,7:0,Not Verified,
309,HIV AG & AB - 4TH GENERATION,5208273,S118,-,No,800,0.00,0,0.00,0.00,Pathology,SELF,Serum,Serology,Immunology,Not enable,-,-,NO,8:0,Not Verified,"Previous blood reports should be attached. Fasting not required.
"
310,CLONAL RESTRICTION / PRE B - CELL ALL PROGNOSTIC MARKER : CYTOPLASMIC IGM,5208272,H112,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
311,PAN T - CELL / EARLY MYELOID CELL MARKER : CD 7,5208271,H072,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
312,SELENIUM,5208270,C1247,-,No,3550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
313,URINE DRUG SCREEN-CANNABINOIDS,5208269,C303,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
314,IHC-CYCLIN-D,5208268,A032,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
315,AMOEBIC SEROLOGY(LIVER ABSCESS),5208267,S242,-,No,1850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Elisa,Not enable,-,-,NO,72:0,Not Verified,Amoebiasis Antibodies
316,POLARISING MICROSCOPIC(SYNOVIAL FLUID),5208266,H552,-,No,2250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
317,U1-NRNP ANTIBODIES,5208265,S109,-,No,2450,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Elisa,Not enable,-,-,NO,-,Not Verified,
318,GALACTOMANNAN(ASPERGILLUS ANTIGEN),5208264,S246,-,No,2550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
319,ALLERGY CONTACTS,5208263,C1257,-,No,4850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
320,CHROMOGRANIN A,5208262,C309,-,No,6500,0.00,0,0.00,0.00,Pathology,SELF,Serum,Immunology,Elisa,Not enable,-,-,NO,72:0,Not Verified,
321,URINE DRUG SCREEN-HEROIN,5208261,C299,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
322,IHC - S100,5208260,A049,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
323,ASPERGILLUS IGM ANTIBODY,5208259,S119,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
324,ASPERGILLUS IGG ANTIBODY,5208258,S100,-,No,2050.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,96:0,Not Verified,
325,IHC- P53,5208257,A064,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
326,ANTI SACCHROMYSES CEREVISIAE IgG (ASCA- IgG),5208256,S201,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,168:0,Not Verified,
327,ANTI SACCHROMYSES CEREVISIAE IgA (ASCA-IgA),5208255,S202,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,180:0,Not Verified,
328,ARSENIC - URINE,5208254,C036,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
329,ARSENIC - BLOOD,5208253,C035,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
330,IHC - NEURON SPECIFIC ENOLASE,5208252,A048,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
331,ANTI DNASE B,5208251,C1325,-,No,1450,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
332,AMINOLVULINIC ACID (ALA),5208250,C210,-,No,4050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
333,IHC-GLIAL FIBRILLARY ACIDIC PROTEIN (GFAP),5208249,A046,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
334,RETICULIN STAIN,5208248,A057-D,-,No,850,0.00,0,0.00,0.00,Pathology,SELF,Whole blood,,Hematology,Not enable,-,-,NO,8:0,Not Verified,
335,VITAMIN A (RATINOL),5208247,C644,-,No,4250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
336,MYCOBACTERIUM COMPLEX - PCR URINE,5208246,P017,-,No,1800,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
337,IHC-DESMIN,5208245,A038,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
338,UIBC--SERUM,5208244,C005,-,No,400,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
339,HIV-I DRUG RESISTANCE ASSAY (PI),5208243,P030,-,No,8500,0.00,0,0.00,0.00,Radiology,SELF,Serum,Molecular Assays,Molecular Biology,Not enable,-,-,NO,-,Not Verified,Previous blood reports should be attached. Fasting not required.
340,HIV-I DRUG RESISTANCE ASSAY (RT),5208242,P029,-,No,15500,0.00,0,0.00,0.00,Radiology,SELF,Serum,Molecular Assays,Molecular Biology,Not enable,-,-,NO,-,Not Verified,Previous blood reports should be attached. Fasting not required.
341,IHC-CYTOKERATIN 5/6,5208241,A037,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
342,HAEMOCHROMATOSIS / HFE - (2 MUTATIONS),5208240,P083,-,No,5850,0.00,0,0.00,0.00,Radiology,SELF,Serum,Molecular Assays,Molecular Biology,Not enable,-,-,NO,-,Not Verified,
343,CULTURE - AEROBIC ,5208239,M021,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Pus,-,Microbiology,Not enable,-,PUS C/S,NO,48:0,Not Verified,"Bacterial Infection Sterile Container
"
344,PARIETAL CELL ANTIBODY,5208238,S096,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"Pernicious Anemia 2 ml Serum
"
345,ENTAMOEBA HISTOLYTICA DETECTION,5208237,H007,-,No,1050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
346,INSULIN (RANDOM) - HORMONE ASSAYS,5208236,C314,-,No,650.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Special Biochemistry,Not enable,-,-,NO,168:0,Not Verified,- 2 ml Serum
347,BIOPSY-BONE- D,5208235,A008-D,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
348,ANTI JO-1 ANTIBODY,5208234,S082,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"Mention ANA findings 2 ml Serum
"
349,ACID FAST SUSPECTIBILITY - 10 DRUGS. (L-J),5208233,M004,-,No,4550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,504:0,Not Verified,"Drug resistance monitoring MTB Pure culture
"
350,STOOL EXAMINATION FOR REDUCING SABSTANCES,5208232,H501,-,No,200,0.00,0,0.00,0.00,Pathology,SELF,Stool,-,Microbiology,Not enable,-,-,NO,6:0,Not Verified,
351,CYTOMEGALOVIRUS DNA PCR QUANTITATIVE (VIRAL LOAD),5208231,P202,-,No,4850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
352,BETA 2 MICROGLOBULIN - Serum,5208230,C040,-,No,1650,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,48:0,Not Verified,Increased in malignant &amp; immunological disorders. 2 ml Serum
353,URINE DRUG SCREEN-BARBITURATES,5208229,H503,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,6:0,Not Verified," 10 ml Urine
"
354,IHC -ESTROGEN RECEPTOR / PROGESTERONE RECEPTOR (ER,5208228,A012,-,No,1750,0.00,0,0.00,0.00,Radiology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
355,ANTI NEUTROPHILIC CYTOPLASMIC ANTIBODY (ANCA) TITRE,5208227,S011,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,19:0,Not Verified,"Vasculitis 3 ml Serum
"
356,P-ANCA (MPO),5208226,S002,-,No,1400.0,0.00,0.0,0.00,0.00,Pathology,CRL DIAGNOSTICS,Serum,-,Pathology,Not enable,-,-,NO,19:0,Not Verified,Vasculitis 2 ml Serum
357,URINE DRUG SCREEN -AMPHETAMINES,5208225,C226,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,6:0,Not Verified," 10 ml Urine
"
358,SM/RNP ANTIBODY,5208224,S079,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
359,RH ANTIBODY TITRE*,5208223,H051,-,No,950,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,72:0,Not Verified,- 2 ml Serum
360,STAIN- INDIAN INK,5208222,M035,-,No,250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,6:0,Not Verified,"For cryptococus infection 1 ml CSF
"
361,METHAMPHETAMINE,5208221,C229,-,No,850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
362,THYROXINE BINDING GLOBULIN,5208220,C213,-,No,5550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,144:0,Not Verified,"- 2 ml Serum
"
363,UREA - URINE SPOT,5208219,C195,-,No,230,0.00,0,0.00,0.00,Pathology,SELF,Serum,Clinical Biochemistry,Special Biochemistry,Not enable,-,UREA URINE ,NO,6:0,Not Verified,"Mention 24 hrs. Urine volume 10 ml 24 H Urine
"
364,ABSOLUTE LYMPHOCYTE COUNT,5208218,H011,-,No,119,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,"Mention Age & Sex 2 ml EDTA Blood
"
365,MYCOBACTERIUM TUBERCULOSIS VIABLE PROKARYOTIC -mRNA PCR,5208217,P032,-,No,3250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
366,CULTURE MISCELLANEOUS (AEROBIC),5208216,M018,-,No,1000,0.00,1000,0.00,0.00,Pathology,SELF,Swab,-,Microbiology,Not enable,-,-,NO,48:0,Not Verified,"Bacterial Infection Swab
"
367,SCRUB TYPHUS ANTIBODY,5208215,M178,-,No,1400,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,SERUM
368,MARIJUANA,5208214,C221,-,No,650,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
369,CULTURE - SWAB (AEROBIC),5208213,M046,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Swab,-,Microbiology,Not enable,-,-,NO,48:0,Not Verified,"Bacterial Infection 10 ml CSF
"
370,ABSOLUTE NEUTROPHIL COUNT,5208212,H012,-,No,119,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Hematology,Not enable,-,-,NO,-,Not Verified,"Mention Age & Sex 2 ml EDTA Blood
"
371,MUMPS IGM ANTIBODY - INFECTIOUS DISEASES,5208211,S093,-,No,1850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,72:0,Not Verified,"Type not mentioned IgM taken 1 ml Serum
"
372,TISSUE TRANSGLUTAMINASE IGM ANTIBODY,5208210,S105,-,No,1250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
373,MEASLES - PCR,5208209,P026,-,No,3850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,72:0,Not Verified,"Rubeola infection 1 ml Serum
"
374,MICROFILARIA RAPID CARD,5208208,S055,-,No,699.0,0.00,0.0,0.00,0.00,Pathology,SELF,EDTA WB,-,Hematology,Not enable,-,-,NO,-,Not Verified,
375,PACKED CELL VOULME,5208207,H045,-,No,180,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,"Mention Age & Sex 2 ml EDTA Blood
"
376,PHENOBARBITAL (GARDINAL),5208206,C142,-,No,1050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,48:0,Not Verified,"Mention Time Of Drug Dose. (Non Serum Separator Tube) 2 ml Serum
"
377,BIOPSY-  LARGE SPECIMEN,5208205,A022,-,No,1499,0.00,0,0.00,0.00,Pathology,SELF,Tissue,-,Histopathology,Not enable,-,HPE LARGE,NO,-,Not Verified,
378,AFB CULTURE (L-J) ,5208204,M190,-,No,1200,0.00,0,0.00,0.00,Pathology,SELF,Any Specimen,-,Microbiology,Not enable,-,AFB C/S,NO,-,Not Verified,Report 5 - 8 week
379,ENDOMYSIAL ANTIBODY IGA IFA,5208203,S086,-,No,1650,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
380,BLOCKS/SLIDE FOR SECOND OPINION,5208202,A020,-,No,800,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
381,BIOPSY- SMALL SPECIMEN,5208201,A079,-,No,599,0.00,0,0.00,0.00,Radiology,SELF,Tissue,-,Histopathology,Not enable,-,HPE SMALL,NO,-,Not Verified,
382,PHENYTOIN (DILANTIN/EPTOIN/EPSOLIN) - DRUG ASSAY,5208200,C143,-,No,950,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,67:0,Not Verified," 1 ml Serum
"
383,BIOPSY- MEDIUM SPECIMEN,5208199,A022-C,-,No,899,0.00,0,0.00,0.00,Radiology,SELF,Tissue,-,Histopathology,Not enable,-,HPE MEDIUM,NO,72:0,Not Verified,
384,CULTURE - MISCELLANEOUS (AEROBIC),5208198,M019,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Any Specimen,-,Microbiology,Not enable,-,-,NO,-,Not Verified,
385,HEPATITIS DELTA VIRUS - IgM (HDV IgM)ANTIBODY,5208197,S166,-,No,3050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"Diagnosing Hepatitis E Infection 2 ml Serum
"
386,INFECTIOUS MONONUCLEOSIS (Heterophilic antibodies- Monospot test),5208196,S052,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,72:0,Not Verified,"Same as infectious Mononuclesis (Monospot)(Hetirophile Ab)_test 1 ml serum
"
387,MYOGLOBIN-SERUM,5208195,C242,-,No,1850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,72:0,Not Verified,"measures skeletal muscle injury 10 ml Urine
"
388,HEV RNA QUANTITATIVE ASSSAY,5208194,P195,-,No,3850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"Diagnosing Hepatitis E Infection 2 ml Serum
"
389,IMMUNOFIXATION ELECTROPHORESIS- SERUM,5208193,C112,-,No,6500,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,96:0,Not Verified,"Protein Electrophoresis, quantification of heavy & light chains, immunofixation characterization of M band 2 ml Serum
"
390,INSULIN LIKE GROWTH FACTOR BONDING PROTEIN (IGF-BP3),5208192,C285,-,No,3650,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,48:0,Not Verified,"Fasting Required 2 ml Serum
"
391,URINE DRUG SCREEN-OPIATES,5208191,C220,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,6:0,Not Verified,"- 5 ml Urine
"
392,MAGNESIUM - 24 Hrs. Urine,5208190,C1303,-,No,800,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Clinical Biochemistry,Not enable,-,-,NO,6:0,Not Verified,"checking deficiency in bones 2 ml Serum
"
393,MERCURY- URINE,5208189,C133,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Clinical Biochemistry,Not enable,-,-,NO,144:0,Not Verified," 3 ml serum
"
394,SERUM LACTATE,5208188,C121,-,No,1050,0.00,0,0.00,0.00,Pathology,SELF,Serum,Clinical Biochemistry,Biochemistry,Not enable,-,-,NO,19:0,Not Verified,"Labile analyte. Separate early 2ml Fluoride Plasma
"
395,CULTURE - BLOOD (AEROBIC) AUTOMATED,5208187,M014,-,No,1500,0.00,0,0.00,0.00,Pathology,SELF,Whole Blood,-,Microbiology,Not enable,-,-,NO,96:0,Not Verified,"Bacterial Infection Sterile Container
"
396,CHIKUNGUNYA IGM ANTIBODY - INFECTIOUS DISEASES (RAPID),5208186,S247,-,No,800.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,-,Not Verified,Serum
397,MANTOUX SKIN TEST,5208185,H002,-,No,99,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
398,HIV-DNA PCR - QUALITATIVE,5208184,P007,-,No,3050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,59:0,Not Verified,"HIV infection Detection 5 ml EDTA Plasma
"
399,"BILIRUBIN - TOTAL, DIRECT & INDIRECT",5208183,C047,-,No,250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,BIL T,NO,-,Not Verified,
400,ANTI TPO (THYROID PEROXIDASE) ANTIBODY*,5208182,AB032,-,No,1449.0,0.00,1449.0,0.00,0.00,Pathology,SELF,Serum,-,Special Biochemistry,Not enable,-,-,NO,-,Not Verified,Serum  1 ml
401,GLOMERULAR BASEMENT MEMBRANE ANTIBODY IGG,5208181,S101,-,No,2250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Clinical Biochemistry,Not enable,-,GFR,NO,-,Not Verified,
402,LEAD - 24 Hrs. Urine,5208180,C127,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Clinical Biochemistry,Not enable,-,-,NO,48:0,Not Verified,"Detecting industrial,dietary & accidental exposure to lead 2 ml EDTA blood
"
403,CULTURE - THROAT SWAB (AEROBIC),5208179,M024,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Swab,-,Microbiology,Not enable,-,THCS,NO,54:0,Not Verified,"Bacterial Infection Sterile Container
"
404,INTRINSIC FACTOR IGG ANTIBODY,5208178,S107,-,No,2550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,Serum 2 ml
405,HUMAN PAPILOMA VIRUS (16&18) DNA BY REAL TIME PCR + LBC ,5208177,P036,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,96:0,Not Verified,"Screening cervical cancers Vaginal Swab in Transport Medium
"
406,HDV RNA QUANTITATIVE - VIRAL LOAD,5208176,P020,-,No,7000,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Molecular Biology,Not enable,-,-,NO,59:0,Not Verified,"HIV infection Detection 2 ml EDTA Plasma
"
407,CULTURE - VAGINAL SWAB (AEROBIC),5208175,M025,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Swab,-,Microbiology,Not enable,-,-,NO,54:0,Not Verified,"Bacterial Infection Sterile Container
"
408,CULTURE - SEMEN (AEROBIC),5208174,M022,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Semen,-,Microbiology,Not enable,-,SECS,NO,54:0,Not Verified,"Bacterial Infection Sterile Container
"
